fold,avg_loss,macro_f1,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
1,0.42762039995532697,0.5790929915594377,0.5029940119760479,0.691358024691358,0.6483516483516484,0.6893617021276596,0.4491525423728814,0.31,0.8,0.40384615384615385,0.7437185929648241,0.5521472392638037
2,0.4621081767770333,0.5600272039086212,0.44761904761904764,0.34782608695652173,0.7156862745098039,0.7136929460580913,0.5414847161572053,0.45226130653266333,0.7575757575757576,0.3891402714932127,0.6620689655172414,0.5729166666666666
3,0.302060939951754,0.5906728298879761,0.2955665024630542,0.5641025641025641,0.6326530612244898,0.7777777777777778,0.484304932735426,0.37962962962962965,0.9166666666666666,0.5779816513761468,0.7219917012448133,0.5560538116591929
4,0.36213177220880494,0.5926539578108729,0.3964757709251101,0.4175824175824176,0.6802030456852792,0.7575757575757576,0.5291479820627802,0.5959595959595959,0.7317073170731707,0.47876447876447875,0.8546511627906976,0.484472049689441
5,0.43298234143218056,0.6042346923276595,0.5434782608695652,0.5064935064935064,0.5234899328859061,0.6378378378378379,0.4921875,0.4662576687116564,0.8181818181818182,0.7254901960784313,0.7261904761904762,0.6027397260273972
6,0.3225723206696491,0.6051315700622071,0.5086206896551724,0.5373134328358209,0.6538461538461539,0.7614213197969543,0.53,0.583732057416268,0.9111111111111111,0.3392857142857143,0.625,0.6009852216748769
7,0.37728442332797474,0.5823357613159434,0.5423728813559322,0.6333333333333333,0.532608695652174,0.7668393782383419,0.24324324324324326,0.6153846153846154,0.9306930693069307,0.35802469135802467,0.5669291338582677,0.6339285714285714
8,0.4450735841547289,0.5231985526477707,0.44285714285714284,0.6153846153846154,0.5058823529411764,0.8148148148148148,0.5243445692883895,0.24390243902439024,0.8405797101449275,0.21153846153846154,0.46551724137931033,0.5671641791044776
9,0.33673360333928176,0.6872215636005049,0.28415300546448086,0.6451612903225806,0.6915887850467289,0.6813186813186813,0.6171428571428571,0.7150837988826816,0.9523809523809523,0.7486631016042781,0.8700564971751412,0.6666666666666666
10,0.34789808575184117,0.6462583578825296,0.5555555555555556,0.5901639344262295,0.5961538461538461,0.7589743589743589,0.6632653061224489,0.6425339366515838,0.8823529411764706,0.5974025974025974,0.5511811023622047,0.625
